task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	f1/26b623	9651	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT:TABIX_BGZIP (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter)	CACHED	0	2024-02-13 11:28:28.935	1.3s	0ms	121.6%	9.9 MB	158 MB	412.4 KB	58.6 KB
1	e7/c4a9cc	9652	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT_COMPLEXVAR:TABIX_BGZIP (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter_complex)	CACHED	0	2024-02-13 11:28:28.938	1.2s	0ms	118.4%	10.8 MB	158 MB	110.2 KB	5.4 KB
4	6a/85694d	30591	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT_COMPLEXVAR:BCFTOOLS_INDEX (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter_complex)	COMPLETED	0	2024-02-13 12:16:45.823	623ms	16ms	100.0%	2.1 MB	3.5 MB	136.4 KB	1.2 KB
3	67/c6350e	30590	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT:BCFTOOLS_INDEX (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter)	COMPLETED	0	2024-02-13 12:16:45.820	644ms	20ms	83.3%	2.1 MB	3.5 MB	189.2 KB	6.5 KB
5	f0/f620b7	30642	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT_COMPLEXVAR:BCFTOOLS_NORM (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter_complex)	COMPLETED	0	2024-02-13 12:16:46.467	9.9s	9.5s	100.0%	10.4 MB	275.9 MB	2.9 GB	6.2 KB
6	6f/82a262	30726	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT:BCFTOOLS_NORM (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter)	COMPLETED	0	2024-02-13 12:16:56.374	8.2s	7.8s	99.6%	11.1 MB	403.9 MB	2.9 GB	57.8 KB
7	58/4acebe	30803	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT_COMPLEXVAR:BCFTOOLS_SORT (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter_complex)	COMPLETED	0	2024-02-13 12:17:04.582	355ms	16ms	52.6%	2.2 MB	3.5 MB	152.6 KB	22.3 KB
8	57/6036c9	30832	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT:BCFTOOLS_SORT (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter)	COMPLETED	0	2024-02-13 12:17:04.940	412ms	35ms	78.9%	10.6 MB	686.3 MB	450.3 KB	320.1 KB
9	9c/81e45a	30858	MSK_NUCLEOVAR:NUCLEOVAR:GUNZIP_FILES (1)	FAILED	0	2024-02-13 12:17:05.359	366ms	8ms	111.1%	2.2 MB	3.5 MB	103.3 KB	301.3 KB
