task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f1/26b623	9651	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT:TABIX_BGZIP (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter)	CACHED	0	2024-02-13 11:28:28.935	1.3s	0ms	121.6%	9.9 MB	158 MB	412.4 KB	58.6 KB
2	e7/c4a9cc	9652	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT_COMPLEXVAR:TABIX_BGZIP (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter_complex)	CACHED	0	2024-02-13 11:28:28.938	1.2s	0ms	118.4%	10.8 MB	158 MB	110.2 KB	5.4 KB
3	a3/a4bea6	13922	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT_COMPLEXVAR:BCFTOOLS_INDEX (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter_complex)	COMPLETED	0	2024-02-13 11:40:11.811	428ms	16ms	47.6%	2.2 MB	3.5 MB	136 KB	1.1 KB
4	e3/cc0f81	13945	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT:BCFTOOLS_INDEX (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter)	COMPLETED	0	2024-02-13 11:40:11.856	409ms	22ms	76.9%	2.2 MB	3.5 MB	189 KB	6.5 KB
5	88/1960c6	13985	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT_COMPLEXVAR:BCFTOOLS_NORM (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter_complex)	COMPLETED	0	2024-02-13 11:40:12.268	8.1s	7.7s	100.1%	10.5 MB	275.9 MB	2.9 GB	6 KB
6	db/3fc657	14056	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT:BCFTOOLS_NORM (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter)	COMPLETED	0	2024-02-13 11:40:20.326	8.1s	7.7s	99.8%	11.8 MB	403.9 MB	2.9 GB	57.7 KB
7	31/f915b3	14130	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT_COMPLEXVAR:BCFTOOLS_SORT (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter_complex)	COMPLETED	0	2024-02-13 11:40:28.437	372ms	15ms	55.6%	2.1 MB	3.5 MB	143.6 KB	13.3 KB
8	c2/b65e0b	14165	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS_ALL_VARDICT:BCFTOOLS_SORT (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter)	COMPLETED	0	2024-02-13 11:40:28.812	390ms	35ms	78.9%	10.5 MB	686.3 MB	442.6 KB	312.3 KB
9	6e/4bf878	14191	MSK_NUCLEOVAR:NUCLEOVAR:GUNZIP_FILES:GUNZIP_LOCAL (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter)	FAILED	1	2024-02-13 11:40:29.208	676ms	580ms	-	-	-	-	-
