task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	a3/8017f7	24423	MSK_NUCLEOVAR:NUCLEOVAR:CALL_VARIANTS_CASECONTROL:VARDICTJAVA (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex)	COMPLETED	0	2024-03-27 15:44:12.754	3m 50s	3m 50s	-	-	-	-	-
2	98/4e59bf	25616	MSK_NUCLEOVAR:NUCLEOVAR:CALL_VARIANTS_CASECONTROL:VARDICT_FILTER (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex)	COMPLETED	0	2024-03-27 15:48:02.647	1.6s	873ms	310.1%	32.7 MB	309.5 MB	11.4 MB	317.8 KB
4	3e/e446db	25660	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS:BCFTOOLS_STANDARD_:BCFTOOLS_INDEX (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter)	COMPLETED	0	2024-03-27 15:48:04.234	2.6s	2.1s	2.4%	9.8 MB	25.8 MB	496.9 KB	60.2 KB
3	6a/e4b664	25659	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS:BCFTOOLS_COMPLEXVAR_:BCFTOOLS_INDEX (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter_complex)	COMPLETED	0	2024-03-27 15:48:04.232	2.7s	2.1s	2.4%	3.4 MB	5.4 MB	184.4 KB	3.6 KB
5	56/c77cb2	25728	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS:TEST_NORM_STANDARD_:BCFTOOLS_NORM (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter)	COMPLETED	0	2024-03-27 15:48:06.922	8.1s	7.6s	99.9%	12 MB	403.9 MB	2.9 GB	54.9 KB
6	d4/8b3e7c	25804	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS:TEST_NORM_COMPLEXVAR_:BCFTOOLS_NORM (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter_complex)	COMPLETED	0	2024-03-27 15:48:14.979	8.1s	7.7s	99.6%	10.9 MB	275.9 MB	2.9 GB	5.9 KB
7	aa/9aa9b1	25882	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS:TEST_NORM_STANDARD_:BCFTOOLS_SORT (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter)	COMPLETED	0	2024-03-27 15:48:23.127	413ms	29ms	55.6%	10.9 MB	686.3 MB	398.5 KB	268 KB
8	2a/1e0661	25911	MSK_NUCLEOVAR:NUCLEOVAR:BCFTOOLS:TEST_NORM_COMPLEXVAR_:BCFTOOLS_SORT (DONOR22-TP_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex-C-2HXC96-P001-d01_cl_aln_srt_MD_IR_FX_BR__aln_srt_IR_FX-duplex_STDfilter_complex)	COMPLETED	0	2024-03-27 15:48:23.543	377ms	15ms	55.6%	2.4 MB	3.5 MB	142.4 KB	11.9 KB
